Model;Decoration;K;Llk;AIC;BIC
GTR;+G+I;27;-1220,59829;2495,19658;2609,57855
GTR;+G;26;-1223,29960;2498,59920;2608,74480
GTR;+I;26;-1224,88108;2501,76216;2611,90776
TN93;+G+I;24;-1234,14050;2516,28100;2617,95387
GTR;;25;-1239,87956;2529,75912;2635,66835
