Model;Decoration;K;Llk;AIC;BIC
HKY85;+G;22;-910,50181;1865,00362;1948,17997
TN93;+G;23;-909,73354;1865,46708;1952,42418
HKY85;+I;22;-910,86587;1865,73174;1948,90809
HKY85;+G+I;23;-910,49684;1866,99368;1953,95078
GTR;+G;26;-909,27585;1870,55170;1968,85103
K80;+G;19;-916,30364;1870,60728;1942,44140
GTR;+I;26;-909,56598;1871,13196;1969,43129
GTR;+G+I;27;-909,28660;1872,57320;1974,65327
HKY85;;21;-915,74519;1873,49038;1952,88599
GTR;;25;-914,43252;1878,86504;1973,38362
